naslov,avtor,ocena,stevilo_ocen,want_to_read,prva_izdaja,stevilo_izdaj
W.B. Yeats,William Butler Yeats,4.2,15,166,1895,135 
A B C Murders,Agatha Christie,4.111111,54,973,1936,132 
The Annotated Charlotte's Web,E. B. White,4.0250626,399,"3,179",1952,149 
The Souls Of Black Folk: Essays And Sketches,W. E. B. Du Bois,4.0,8,225,1903,412 
Finnegans wake: a facsimile of Buffalo notebooks VI.B.9-VI.B.12,James Joyce,3.5833333,12,117,1928,128 
Art of poetry,"Aristotle,Leon Golden, andO. B. Hardison",3.857143,7,251,1536,251 
The B.F.G.,Roald Dahl,4.1769233,130,"1,207",1980,136 
The Elements of Style,"William Strunk, Jr.,E. B. White,William Strunk Jr.,Roger Angell, andStrunk, William, Jr.",3.6153846,13,331,1920,273 
"The Norton Anthology of English Literature, Vols. 2A+2B+2C (Packaged with Media Companion)","M. H. Abrams,M. Abrams,M. H. Adams,Stephen Greenblatt,Abrams,M. H., andM. H. Abrams",3.6666667,3,149,1962,244 
Hunger,"Knut Hamsun,George Egerton,M. B. Ruud,Robert Bly,Paul Auster,Julius Sandmeier,Tore Rem,Terence Cave, andPractice Norwegian",3.75,12,78,1890,154 
The alchemist. A comedy. Acted in the year 1610 ...,Ben Jonson,4.185185,27,435,1612,128 
Crooked House: B2+ Level 5,Agatha Christie,4.3,10,238,1949,109 
Remembered Death,Agatha Christie,3.875,8,140,1945,105 
Rebecca B Special,Daphne du Maurier,4.162791,43,715,1938,183 
The Fall,Albert Camus,3.627451,51,414,1917,145 
And Then There Were None: B2,Agatha Christie,4.2465754,146,"1,437",1939,185 
The House of Mirth,Edith Wharton,4.076923,13,128,1905,684 
Plutarch's Moralia: In fifteen volumes : 523C-612B,Plutarch,4.142857,14,180,1500,211 
The Jungle (Barnes & Noble Classics Series) (B&N Classics),Upton Sinclair,4.0151515,66,514,1905,358 
Peril at End House,Agatha Christie,4.1875,16,158,1932,107 
Murder Is Announced: B2,Agatha Christie,4.3157897,19,227,1950,119 
Evil under the Sun: B2,Agatha Christie,4.0,16,172,1941,114 
Murder with Mirrors,Agatha Christie,4.5,8,175,1952,108 
"Subtle Knife: Award-Winning, Internationally B Estselling, Now Full-colour Illustrated Ed",Philip Pullman,4.0,101,243,1997,104 
"Catching Fire: Schulausgabe für das Niveau B2, ab dem 6. Lernjahr. Ungekürzter englischer Originaltext mit Annotationen",Suzanne Collins,4.133858,254,"1,197",2009,100 
Un cadáver en la biblioteca,Agatha Christie,3.8235295,17,243,1942,111 
Fantasma De Canterville El (B,Oscar Wilde,4.571429,7,84,1887,137 
Murder at the Vicarage: B2+ Level 5,Agatha Christie,4.1538463,26,201,1930,118 
Jane Eyre (Barnes & Noble Classics Series) (B&N Classics),Charlotte Brontë,4.025316,158,"1,115",1847,1169 
"[Petition of Allan B. Wilson, for patent.]",United States. Congress. Senate. Committ...,3.25,12,204,1858,241 
"The confessions.: Rev. from a former translation by E.B. Pusey, with illustrations from S. Augustine himself.",Augustine of Hippo,4.5,18,377,1482,449 
What Mrs. McGillicuddy Saw!,Agatha Christie,3.9473684,19,179,1957,131 
Beyond good and evil: prelude toa philosophy of the future,Friedrich Nietzsche,4.2222223,18,482,1885,210 
Mirror Crack'd from Side to Side: B2,Agatha Christie,4.3076925,13,151,1960,111 
Iliad: books 13-24.  With notes by D.B. Monro.,Όμηρος,4.035211,142,845,1488,1060 
The Hunchback of Notre Dame (Barnes & Noble Classics Series) (B&N Classics),Victor Hugo,4.1136365,44,253,1831,263 
Charlie and the Chocolate Factory: Englischer Text mit deutschen Worterklärungen. A2-B1,Roald Dahl,4.031496,254,"2,132",1964,220 
The Winter's Tale,William Shakespeare,3.2,10,78,1735,353 
Murder on the Orient Express,"Agatha Christie,Andrew Sachs,Ken Ludwig,Not Known,Graham Johnson,Bethany Bolton,Jesse Felton,Chalut, andHal Boffin",4.079208,101,"1,157",1933,221 
The Murder of Roger Ackroyd,Agatha Christie,4.174603,63,591,1926,205 
BC Blue (KS2) B/4A E. Nesbit's Blue Railway Children GRC,Edith Nesbit,3.4705882,17,249,1900,977 
Anne Frank's Diary.: Translated from the Dutch by B.M. Mooyaart-Doubleday.  With a foreword by Storm Jameson.,Anne Frank,4.1916666,120,"1,873",1944,282 
